id,styleId,size,quantity
587,86,"S",22
588,86,"M",49
589,86,"L",56
590,86,"XL",49
591,86,"XXL",31
592,87,"XS",26
593,87,"S",22
594,87,"M",58
595,87,"L",2
596,87,"XL",39
597,87,"XXL",36
598,88,"XS",58
599,88,"S",15
600,88,"M",59
601,88,"L",43
602,88,"XL",29
603,88,"XXL",45
604,89,"XS",10
605,89,"S",32
606,89,"M",53
607,89,"L",37
608,89,"XL",23
609,89,"XXL",42
610,90,"7",0
611,90,"7.5",54
612,90,"8",36
613,90,"8.5",1
614,90,"9",19
615,90,"9.5",45
616,90,"10",6
617,90,"10.5",2
618,90,"11",30
619,90,"11.5",24
620,90,"12",49
621,91,"7",19
622,91,"7.5",32
623,91,"8",9
624,91,"8.5",9
625,91,"9",43
626,91,"9.5",50
627,91,"10",45
628,91,"10.5",54
629,91,"11",13
630,91,"11.5",7
631,91,"12",19
632,92,"XS",51
633,92,"S",58
634,92,"M",15
635,92,"L",16
636,92,"XL",56
637,92,"XXL",9
638,93,"XS",29
639,93,"S",34
640,93,"M",59
641,93,"L",39
642,93,"XL",49
643,93,"XXL",1
644,94,"XS",23
645,94,"S",23
646,94,"M",36
647,94,"L",4
648,94,"XL",58
649,94,"XXL",53
650,95,"XS",17
651,95,"S",25
652,95,"M",28
653,95,"L",54
654,95,"XL",3
655,95,"XXL",18
656,96,"XS",24
657,96,"S",28
658,96,"M",46
659,96,"L",16
660,96,"XL",53
661,96,"XXL",26
662,97,"XS",51
663,97,"S",21
664,97,"M",36
665,97,"L",26
666,97,"XL",6
667,97,"XXL",20
668,98,"XS",23
669,98,"S",16
670,98,"M",16
671,98,"L",23
672,98,"XL",19
673,98,"XXL",6
674,99,"XS",26
675,99,"S",11
676,99,"M",19
677,99,"L",29
678,99,"XL",1
679,99,"XXL",48
680,100,"XS",53
681,100,"S",58
682,100,"M",42
683,100,"L",21
684,100,"XL",59
685,100,"XXL",8
686,101,"XS",41
687,101,"S",38
688,101,"M",58
689,101,"L",7
690,101,"XL",4
691,101,"XXL",45
692,102,"XS",14
693,102,"S",14
694,102,"M",8
695,102,"L",3
696,102,"XL",51
697,102,"XXL",20
698,103,"XS",36
699,103,"S",55
700,103,"M",46
701,103,"L",32
702,103,"XL",30
703,103,"XXL",33
704,104,"XS",13
705,104,"S",55
706,104,"M",27
707,104,"L",47
708,104,"XL",56
709,104,"XXL",14
710,105,"XS",53
711,105,"S",2
712,105,"M",23
713,105,"L",19
714,105,"XL",45
715,105,"XXL",40
716,106,"XS",51
717,106,"S",15
718,106,"M",0
719,106,"L",24
720,106,"XL",53
721,106,"XXL",32
722,107,"XS",44
723,107,"S",15
724,107,"M",0
725,107,"L",50
726,107,"XL",53
727,107,"XXL",34
728,108,"XS",19
729,108,"S",57
730,108,"M",4
731,108,"L",49
732,108,"XL",30
733,108,"XXL",40
734,109,"XS",1
735,109,"S",18
736,109,"M",27
737,109,"L",18
738,109,"XL",11
739,109,"XXL",22
740,110,"XS",54
741,110,"S",19
742,110,"M",28
743,110,"L",41
744,110,"XL",46
745,110,"XXL",1
746,111,"XS",33
747,111,"S",3
748,111,"M",48
749,111,"L",5
750,111,"XL",2
751,111,"XXL",41
752,112,"XS",8
753,112,"S",51
754,112,"M",25
755,112,"L",37
756,112,"XL",30
757,112,"XXL",46
758,113,"XS",45
759,113,"S",23
760,113,"M",0
761,113,"L",49
762,113,"XL",43
763,113,"XXL",33
764,114,"XS",49
765,114,"S",35
766,114,"M",55
767,114,"L",50
768,114,"XL",12
769,114,"XXL",2
770,115,"XS",22
771,115,"S",3
772,115,"M",22
773,115,"L",34
774,115,"XL",39
775,115,"XXL",5
776,116,"XS",42
777,116,"S",30
778,116,"M",17
779,116,"L",37
780,116,"XL",9
781,116,"XXL",51
782,117,"XS",0
783,117,"S",51
784,117,"M",41
785,117,"L",52
786,117,"XL",13
787,117,"XXL",31
788,118,"XS",37
789,118,"S",17
790,118,"M",3
791,118,"L",53
792,118,"XL",16
793,118,"XXL",4
794,119,"XS",2
795,119,"S",40
796,119,"M",36
797,119,"L",59
798,119,"XL",59
799,119,"XXL",1
800,120,"XS",10
801,120,"S",25
802,120,"M",27
803,120,"L",41
804,120,"XL",7
805,120,"XXL",46
806,121,"XS",23
807,121,"S",35
808,121,"M",43
809,121,"L",42
810,121,"XL",36
811,121,"XXL",40
812,122,"XS",1
813,122,"S",13
814,122,"M",35
815,122,"L",24
816,122,"XL",24
817,122,"XXL",14
818,123,"7",16
819,123,"7.5",35
820,123,"8",13
821,123,"8.5",58
822,123,"9",59
823,123,"9.5",17
824,123,"10",29
825,123,"10.5",15
826,123,"11",3
827,123,"11.5",11
828,123,"12",57
829,124,"XS",59
830,124,"S",10
831,124,"M",41
832,124,"L",38
833,124,"XL",15
834,124,"XXL",36
835,125,"XS",52
836,125,"S",57
837,125,"M",56
838,125,"L",11
839,125,"XL",14
840,125,"XXL",39
841,126,"XS",25
842,126,"S",47
843,126,"M",55
844,126,"L",54
845,126,"XL",16
846,126,"XXL",38
847,127,"XS",16
848,127,"S",41
849,127,"M",11
850,127,"L",2
851,127,"XL",14
852,127,"XXL",7
853,128,"XS",42
854,128,"S",19
855,128,"M",59
856,128,"L",12
857,128,"XL",38
858,128,"XXL",51
859,129,"XS",7
860,129,"S",49
861,129,"M",52
862,129,"L",41
863,129,"XL",19
864,129,"XXL",37
865,130,"XS",26
866,130,"S",49
867,130,"M",47
868,130,"L",10
869,130,"XL",10
870,130,"XXL",51
871,131,"XS",43
872,131,"S",25
873,131,"M",57
874,131,"L",48
875,131,"XL",36
876,131,"XXL",20
877,132,"XS",20
878,132,"S",6
879,132,"M",57
880,132,"L",20
881,132,"XL",58
882,132,"XXL",52
883,133,"XS",51
884,133,"S",37
885,133,"M",53
886,133,"L",56
887,133,"XL",20
888,133,"XXL",12
889,134,"XS",36
890,134,"S",56
891,134,"M",35
892,134,"L",1
893,134,"XL",1
894,134,"XXL",4
895,135,"XS",24
896,135,"S",53
897,135,"M",48
898,135,"L",22
899,135,"XL",14
900,135,"XXL",19
901,136,"XS",38
902,136,"S",56
903,136,"M",34
904,136,"L",20
905,136,"XL",30
906,136,"XXL",11
907,137,"XS",45
908,137,"S",18
909,137,"M",19
910,137,"L",13
911,137,"XL",38
912,137,"XXL",19
913,138,"XS",5
914,138,"S",58
915,138,"M",4
916,138,"L",18
917,138,"XL",38
918,138,"XXL",23
919,139,"XS",35
920,139,"S",43
921,139,"M",14
922,139,"L",15
923,139,"XL",22
924,139,"XXL",34
925,140,"XS",21
926,140,"S",17
927,140,"M",9
928,140,"L",41
929,140,"XL",29
930,140,"XXL",39
931,141,"XS",51
932,141,"S",20
933,141,"M",36
934,141,"L",16
935,141,"XL",46
936,141,"XXL",20
937,142,"XS",55
938,142,"S",16
939,142,"M",29
940,142,"L",4
941,142,"XL",41
942,142,"XXL",37
943,143,"One Size",40
944,144,"One Size",29
945,145,"One Size",19
946,146,"One Size",13
947,147,"7",17
948,147,"7.5",21
949,147,"8",19
950,147,"8.5",23
951,147,"9",26
952,147,"9.5",41
953,147,"10",49
954,147,"10.5",29
955,147,"11",2
956,147,"11.5",30
957,147,"12",3
958,148,"7",31
959,148,"7.5",38
960,148,"8",13
961,148,"8.5",46
962,148,"9",12
963,148,"9.5",8
964,148,"10",1
965,148,"10.5",31
966,148,"11",34
967,148,"11.5",28
968,148,"12",55
969,149,"7",11
970,149,"7.5",50
971,149,"8",54
972,149,"8.5",17
973,149,"9",13
974,149,"9.5",51
975,149,"10",16
976,149,"10.5",43
977,149,"11",33
978,149,"11.5",18
979,149,"12",26
980,150,"7",39
981,150,"7.5",54
982,150,"8",1
983,150,"8.5",13
984,150,"9",59
985,150,"9.5",3
986,150,"10",16
987,150,"10.5",20
988,150,"11",41
989,150,"11.5",35
990,150,"12",36
991,151,"XS",54
992,151,"S",17
993,151,"M",17
994,151,"L",59
995,151,"XL",31
996,151,"XXL",4
997,152,"XS",27
998,152,"S",0
999,152,"M",57
1000,152,"L",8
1001,152,"XL",50
1002,152,"XXL",14
1003,153,"XS",14
1004,153,"S",2
1005,153,"M",11
1006,153,"L",51
1007,153,"XL",0
1008,153,"XXL",58
1009,154,"XS",44
1010,154,"S",51
1011,154,"M",39
1012,154,"L",27
1013,154,"XL",29
1014,154,"XXL",41
1015,155,"XS",21
1016,155,"S",11
1017,155,"M",52
1018,155,"L",34
1019,155,"XL",21
1020,155,"XXL",19
1021,156,"XS",10
1022,156,"S",25
1023,156,"M",31
1024,156,"L",49
1025,156,"XL",41
1026,156,"XXL",30
1027,157,"XS",33
1028,157,"S",33
1029,157,"M",18
1030,157,"L",40
1031,157,"XL",40
1032,157,"XXL",1
1033,158,"XS",14
1034,158,"S",35
1035,158,"M",15
1036,158,"L",26
1037,158,"XL",55
1038,158,"XXL",35
1039,159,"7",32
1040,159,"7.5",56
1041,159,"8",22
1042,159,"8.5",12
1043,159,"9",26
1044,159,"9.5",51
1045,159,"10",25
1046,159,"10.5",9
1047,159,"11",53
1048,159,"11.5",15
1049,159,"12",36
1050,160,"One Size",32
1051,161,"One Size",27
1052,162,"XS",38
1053,162,"S",19
1054,162,"M",56
1055,162,"L",15
1056,162,"XL",9
1057,162,"XXL",26
1058,163,"XS",47
1059,163,"S",58
1060,163,"M",52
1061,163,"L",27
1062,163,"XL",46
1063,163,"XXL",38
1064,164,"XS",34
1065,164,"S",55
1066,164,"M",18
1067,164,"L",53
1068,164,"XL",5
1069,164,"XXL",41
1070,165,"7",35
1071,165,"7.5",38
1072,165,"8",10
1073,165,"8.5",45
1074,165,"9",40
1075,165,"9.5",43
1076,165,"10",16
1077,165,"10.5",51
1078,165,"11",47
1079,165,"11.5",26
1080,165,"12",7
1081,166,"XS",25
1082,166,"S",41
1083,166,"M",57
1084,166,"L",14
1085,166,"XL",23
1086,166,"XXL",49
1087,167,"XS",5
1088,167,"S",53
1089,167,"M",23
1090,167,"L",16
1091,167,"XL",0
1092,167,"XXL",38
1093,168,"One Size",16
1094,169,"One Size",10
1095,170,"One Size",58
1096,171,"XS",36
1097,171,"S",22
1098,171,"M",20
1099,171,"L",38
1100,171,"XL",15
1101,171,"XXL",32
1102,172,"XS",45
1103,172,"S",27
1104,172,"M",58
1105,172,"L",26
1106,172,"XL",14
1107,172,"XXL",15
1108,173,"XS",58
1109,173,"S",24
1110,173,"M",25
1111,173,"L",25
1112,173,"XL",18
1113,173,"XXL",51
1114,174,"XS",14
1115,174,"S",0
1116,174,"M",58
1117,174,"L",24
1118,174,"XL",33
1119,174,"XXL",42
1120,175,"XS",42
1121,175,"S",22
1122,175,"M",46
1123,175,"L",7
1124,175,"XL",8
1125,175,"XXL",1
1126,176,"XS",10
1127,176,"S",34
1128,176,"M",31
1129,176,"L",55
1130,176,"XL",21
1131,176,"XXL",50
1132,177,"XS",47
1133,177,"S",4
1134,177,"M",22
1135,177,"L",26
1136,177,"XL",39
1137,177,"XXL",13
1138,178,"XS",40
1139,178,"S",37
1140,178,"M",45
1141,178,"L",55
1142,178,"XL",13
1143,178,"XXL",46
1144,179,"XS",11
1145,179,"S",0
1146,179,"M",47
1147,179,"L",49
1148,179,"XL",42
1149,179,"XXL",25
1150,180,"XS",41
1151,180,"S",26
1152,180,"M",53
1153,180,"L",1
1154,180,"XL",48
1155,180,"XXL",33
1156,181,"XS",55
1157,181,"S",0
1158,181,"M",8
1159,181,"L",3
1160,181,"XL",47
1161,181,"XXL",44
1162,182,"XS",38
1163,182,"S",39
1164,182,"M",59
1165,182,"L",56
1166,182,"XL",23
1167,182,"XXL",28
1168,183,"One Size",40
1169,184,"One Size",31
1170,185,"One Size",24
1171,186,"One Size",45
1172,187,"One Size",20
1173,188,"One Size",0
1174,189,"One Size",48
1175,190,"7",4
1176,190,"7.5",17
1177,190,"8",31
1178,190,"8.5",41
1179,190,"9",0
1180,190,"9.5",18
1181,190,"10",28
1182,190,"10.5",43
1183,190,"11",6
1184,190,"11.5",36
1185,190,"12",35
1186,191,"One Size",59
1187,192,"One Size",32
1188,193,"One Size",13
1189,194,"One Size",5
1190,195,"One Size",18
1191,196,"One Size",27
1192,197,"One Size",7
1193,198,"XS",21
1194,198,"S",12
1195,198,"M",37
1196,198,"L",6
1197,198,"XL",33
1198,198,"XXL",59
1199,199,"XS",32
1200,199,"S",56
1201,199,"M",37
1202,199,"L",55
1203,199,"XL",54
1204,199,"XXL",22
1205,200,"XS",32
1206,200,"S",5
1207,200,"M",24
1208,200,"L",50
1209,200,"XL",3
1210,200,"XXL",58
1211,201,"XS",32
1212,201,"S",45
1213,201,"M",44
1214,201,"L",53
1215,201,"XL",11
1216,201,"XXL",13
1217,202,"XS",22
1218,202,"S",35
1219,202,"M",39
1220,202,"L",23
1221,202,"XL",0
1222,202,"XXL",35
1223,203,"XS",3
1224,203,"S",59
1225,203,"M",48
1226,203,"L",25
1227,203,"XL",9
1228,203,"XXL",40
1229,204,"XS",15
1230,204,"S",56
1231,204,"M",30
1232,204,"L",53
1233,204,"XL",14
1234,204,"XXL",9
1235,205,"XS",9
1236,205,"S",32
1237,205,"M",54
1238,205,"L",10
1239,205,"XL",48
1240,205,"XXL",25
1241,206,"XS",42
1242,206,"S",33
1243,206,"M",43
1244,206,"L",29
1245,206,"XL",41
1246,206,"XXL",58
1247,207,"XS",28
1248,207,"S",52
1249,207,"M",9
1250,207,"L",55
1251,207,"XL",18
1252,207,"XXL",9
1253,208,"XS",41
1254,208,"S",52
1255,208,"M",51
1256,208,"L",17
1257,208,"XL",32
1258,208,"XXL",19
1259,209,"XS",40
1260,209,"S",44
1261,209,"M",34
1262,209,"L",35
1263,209,"XL",30
1264,209,"XXL",33
1265,210,"7",49
1266,210,"7.5",25
1267,210,"8",17
1268,210,"8.5",6
1269,210,"9",10
1270,210,"9.5",45
1271,210,"10",46
1272,210,"10.5",46
1273,210,"11",55
1274,210,"11.5",27
1275,210,"12",58
1276,211,"7",35
1277,211,"7.5",50
1278,211,"8",9
1279,211,"8.5",6
1280,211,"9",47
1281,211,"9.5",42
1282,211,"10",8
1283,211,"10.5",55
1284,211,"11",50
1285,211,"11.5",20
1286,211,"12",22
1287,212,"7",58
1288,212,"7.5",0
1289,212,"8",31
1290,212,"8.5",57
1291,212,"9",4
1292,212,"9.5",14
1293,212,"10",31
1294,212,"10.5",9
1295,212,"11",10
1296,212,"11.5",48
1297,212,"12",56
1298,213,"XS",18
1299,213,"S",58
1300,213,"M",39
1301,213,"L",1
1302,213,"XL",55
1303,213,"XXL",10
1304,214,"XS",35
1305,214,"S",26
1306,214,"M",22
1307,214,"L",32
1308,214,"XL",25
1309,214,"XXL",8
1310,215,"XS",52
1311,215,"S",17
1312,215,"M",8
1313,215,"L",7
1314,215,"XL",26
1315,215,"XXL",8
1316,216,"XS",17
1317,216,"S",43
1318,216,"M",18
1319,216,"L",58
1320,216,"XL",3
1321,216,"XXL",30
1322,217,"XS",23
1323,217,"S",20
1324,217,"M",15
1325,217,"L",54
1326,217,"XL",15
1327,217,"XXL",57
1328,218,"XS",7
1329,218,"S",31
1330,218,"M",47
1331,218,"L",11
1332,218,"XL",21
1333,218,"XXL",42
1334,219,"XS",13
1335,219,"S",12
1336,219,"M",37
1337,219,"L",46
1338,219,"XL",54
1339,219,"XXL",49
1340,220,"XS",18
1341,220,"S",9
1342,220,"M",55
1343,220,"L",33
1344,220,"XL",46
1345,220,"XXL",6
1346,221,"XS",21
1347,221,"S",48
1348,221,"M",26
1349,221,"L",38
1350,221,"XL",30
1351,221,"XXL",31
1352,222,"XS",27
1353,222,"S",18
1354,222,"M",51
1355,222,"L",28
1356,222,"XL",7
1357,222,"XXL",40
1358,223,"XS",24
1359,223,"S",28
1360,223,"M",3
1361,223,"L",25
1362,223,"XL",1
1363,223,"XXL",22
1364,224,"XS",12
1365,224,"S",57
1366,224,"M",30
1367,224,"L",27
1368,224,"XL",38
1369,224,"XXL",49
1370,225,"XS",10
1371,225,"S",6
1372,225,"M",25
1373,225,"L",14
1374,225,"XL",41
1375,225,"XXL",31
1376,226,"XS",33
1377,226,"S",19
1378,226,"M",42
1379,226,"L",47
1380,226,"XL",37
1381,226,"XXL",10
1382,227,"XS",16
1383,227,"S",7
1384,227,"M",55
1385,227,"L",45
1386,227,"XL",37
1387,227,"XXL",15
1388,228,"XS",50
1389,228,"S",42
